,User,Date,Content,Views,Likes,Retweets,comments,score,Location,Categories
49,Squidward4Ever,05/02/2023,"imma be real ive never fucking seen a Seinfeld episode that actually has Newman in it, I think his character is a deep state psyop because ive watched a LOT of Seinfeld and have never seen that fool",201,8,0,1,222,None,[1]
50,JunkFitter2,05/02/2023,"@elonmusk @unusual_whales True, previous management used to get money from deep state.",3,0,0,0,3,None,[1]
51,janiceofthelake,15/02/2023,@evenbev @ABC @washingtonpost Both media’s have been exposed as run and controlled by democrats and our deep state so why would anyone post anything they have to say. . I know.  You like propagating propaganda for the billionaires who own them.,6,0,0,0,6,None,[1]
52,phrygiandan,05/02/2023,@MNThinkTank I must say I did not follow that tyrannical maniacs unconstitutional mask mandates at all! He is just another deep state hack. White people can’t figure that out. We’ll never know. Making a move to Florida soon. Good luck Minnesota.,16,0,0,0,16,None,[1]
53,SayTheWayISeeIt,05/02/2023,"Amen yes, it already is ♥️ Glory be to God♥️ Amazing time to shout Jesus is King. Remind the cabal, God’s army (his faithful servants) here on earth are aware of the war.",14,0,0,0,14,None,[1]
54,TheKingMaz,05/02/2023,"@gigapilledchad @batalasart @MaximalFreedom @iamyesyouareno Oh, I get it. You're a nazi. There is no white genocide nor will there be. And I love how desperate you are to call me the N word I'm not black, white brother.",29,0,0,1,34,None,[5]
55,WkThomas3,05/02/2023,@Wasred4skins Because the deep state puppets are doing what they do best. Lie,7,0,0,0,7,None,[1]
56,carmichael59,05/02/2023,@elonmusk @unusual_whales Why not just rebuild a new one and then shut down and replace without the deep state involvement!!! No I have no idea or clue how but a blown engine needs to just be replaced if the vehicle is to work,3,0,0,0,3,None,[1]
57,bravi_mike,05/02/2023,@Plasticgirl99 @terikarma @MonicaCrowley What deep state ms. Bot? That is a term made up by Steve Bannon. The fact that you even accept the existence of the so called ‘Deep State’ with no falsifiable evidence to support it’s existence says a lot about you.,13,0,0,1,18,None,[1]
58,utahrattler,05/02/2023,"If so, that would be yet another big deep state corruption scandal the praetorian guard media will try to ignore. 
Probably worth double checking if they did occur and deep state intentionally kept quiet.",6,0,0,0,6,None,[1]
59,Joemora63617406,05/02/2023,"If Trump and his defense and intelligence teams let one or three balloons float by within USA, you can be sure the deep state, anti-Trumpers, the media and the DTS at DOJ would have yelled about it AT THAT TIME, and use it to impeach him again. https://t.co/QeTTX2Z8Dg",8,0,0,0,8,None,[1]
60,Tigerlily5319,05/02/2023,@JDMatlock1 @LauraLoomer That's a lie but that's all you people know how to do. Actually Biden screams at people in public. I'm sure the pompous arse rinos like DeSantis and his screeching wife have plenty more nasty deep state secrets.,32,3,0,0,38,None,[1]
61,EAGrayham,05/02/2023,"@JonathanTurley Seems as though the “deep state” truly does exist. What’s scarier, that or the fact that the democrats and some republicans and virtually ALL of media STILL say there is no deep state.",49,2,0,0,53,None,[1]
62,ForAStroll,05/02/2023,@hodgetwins Yes.    That’s what the deep state and Democrats have been working towards since the Clinton administration. Back when Members of his administration called our veterans terrorist!,7,0,0,0,7,None,[1]
63,wr74318240,05/02/2023,"@KanekoaTheGreat @DineshDSouza @ElectionWiz @KurtSchlichter @DonaldJTrumpJr @EricTrump @RichardGrenell @TomFitton @bennyjohnson @catturd2 @hodgetwins Because anonymous sources are so trustworthy 😂😂😂😂😂 
Good one deep state, try another one. Your lies are becoming more and more obvious 😉",4,0,0,0,4,None,[1]
64,FullyLoaded2A,05/02/2023,@Cobratate Not what the cabal tells us! 😆,17,0,0,0,17,None,[1]
65,FortAwesome451,05/02/2023,"@Captain01470560 From my point of view as I go further back I think we all had esoteric knowledge that they then twisted to meet their agenda.

The Irish were almost destroyed 
Why
They had Gnostic knowledge that conflicted with the cabal.

This has been a long time of them destroying old earth.",17,0,0,1,22,None,[1]
66,Frank94147822,05/02/2023,"This is Hamburg, Germany.
The great replacement is not a 'conspiracy theory', it is a very real conspiracy involving the government, the media &amp; big business with the intended goal being the demographic replacement of those of European descent.

CorollaVirus™LivesMatter https://t.co/h03d7eFMr7",114,0,0,0,114,None,[5]
67,paul_keeping,05/02/2023,"@a_meluzzi @Spacettf So many delusions:

climate in crisis
cryptocurrency legit
men are women
CRT
china is bad
functional democracy
renewables
vaccines safe and effective
equality
witches
Russia started it
Trump is corrupt
Biden isn't 
Deep state is a conspiracy theory",15,0,0,0,15,None,[2]
68,Harry02724836,05/02/2023,@UgStereo Change to another regime that is also under millionaires and corporate and deep state control? Just like each and every election?,7,0,0,0,7,None,[1]
69,LTSummer22,05/02/2023,@petenet321 Great but isn't deep state gonna cheat again? They seem to own everyone and everything #deepstate #draintheswamp #TRUMP2024ToSaveAmerica,10,0,0,0,10,None,[1]
70,qv_vu,05/02/2023,I want to hear something like this in House of Commons of Canada. Trudope and his gang in Ottawa lied to us from the beggining of the plandemic. Traitors!,12,0,0,0,12,None,[2]
71,gfranklin41,05/02/2023,"@GordonGChang @Realpersonpltcs Why would they brief the illegitimate occupant of the White House? The shadow government is in control, Brandon is a figurehead that they are ready to drop. He is becoming a nuisance and a burden.",5,0,0,0,5,None,[1]
72,HarvardNRW1,05/02/2023,"@carriepricecox3 @DrAseemMalhotra ""Left"" I interprete hereby as those who put ideas before facts and take ideas as factual reality, progressive to never-neverland.
It's in DDRs largest cinema they hosted 10th global health summit, see the people attended, edited and cut off from website?  Why?  It's plandemic. https://t.co/q1tQj1oUEP",35,0,0,0,35,None,[2]
73,TheRemn07372412,05/02/2023,"@YdoUH8M3 I picture the cabal sitting around a table drinking scotch, smoking cigars, laughing at what clown thing they make the stupid masses do next....trying to outdo each other and someone came up with this.",4,0,0,0,4,None,[1]
74,Yo_Kuzzoe,05/02/2023,@simonateba He’s a puppet planted in office by the deep state. His only true function is to repeat the script he is given daily,2,0,0,0,2,None,[1]
75,twateater420,05/02/2023,"my dog died and i’ve fallen in a deep state of depression, just need some motivation to get back on my feet   $riqjo",176,2,0,1,185,None,[1]
76,youtoo2128,05/02/2023,"@glennfeehan @SpartaJustice @RobSchneider Yeah, it's tough for the brainwashed to admit you've fallen for the bs that is global warming, Greta, the scamdemic, covid clot shot, Russia hoax, Biden got more votes than Trump, Jussie Smollet, Tawana Brawley, etc... You may never see the truth until it's too late.",9,0,0,0,9,None,[2]
77,dispicable2020,05/02/2023,"@glennbeck so the WEF plan the next plandemic to be a massive cyberattack Shutting down the internet worldwide, except for them of course! So I guess the shut down of Italy was a “trial run”?",150,0,0,0,150,None,[2]
78,AlbannachXIV,05/02/2023,"@Gavin_F_Brewis Leaving the English out of the equation the figures are still true, white genocide is real we are being raped, murdered and sterilised out of existence which again is another nuanced conversation",10,0,0,1,15,None,[5]
79,Nevergi95414627,05/02/2023,"There Are Big Problems With Biden Team's Evolving Story About Prior Chinese Balloons https://t.co/w5yOvgivoI 

More deep state lies trying to smear Trump by the deep state and the Dems.",13,0,0,0,13,None,[1]
80,LibertasMundi22,05/02/2023,"If we all stood up like Pascal, the globalists would surely fall quickly",91,1,1,0,96,None,[1]
81,i_me_sandy,05/02/2023,"USA deep state military have been, are and will always be COMPROMISED under dem-control.  dems ALL need to go, house, senate &amp; wh!",7,1,1,0,12,None,[1]
82,nyuckie_yucks,05/02/2023,"A deep state is a type of governance made up of potentially secret and unauthorized networks of power operating independently of a state's political leadership in pursuit of their own agenda and goals. 
https://t.co/yhVOdM3B5X",26,1,0,0,28,None,[1]
83,CaligulaRedux,05/02/2023,"@newscomauHQ stand with the people and not the globalists, or you can expect more of this sort of stuff",221,9,1,0,242,None,[1]
84,fluffylegs,05/02/2023,@LoveIsland I think Maya is a great replacement and a lot better than Laura.,1398,27,1,2,1465,None,[5]
85,Ahura3,05/02/2023,What a 💩 show the globalists created out of the departure of this man from France to #Iran. Newly released video shows members of the U.S. and European intelligence agencies escorting this illiterate pedophile mullah and paving the way for the total destruction of Iran in 1979.,67,0,0,0,67,None,[1]
86,LarryWi20583618,05/02/2023,@healthbyjames I’m mad as hell what the deep state one world order socialist /communist have pull off.,7,0,0,0,7,None,[1]
